# timestamp tx ty tz qx qy qz qw
1.716292648659368277e+09 -9.447774887084959161e+00 -7.174542903900146484e+00 1.621310114860534890e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292648709488630e+09 -9.446531295776367188e+00 -7.177738666534423828e+00 1.626061916351318359e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292648759714603e+09 -9.444592475891111505e+00 -7.180198192596436435e+00 1.630520343780517578e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292648809768438e+09 -9.439238548278808594e+00 -7.180542469024658203e+00 1.634627223014831543e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292648910413504e+09 -9.424399375915527344e+00 -7.181710243225097656e+00 1.641968369483947754e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292648960327625e+09 -9.415119171142578125e+00 -7.182263374328613281e+00 1.645167589187622070e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292649060599804e+09 -9.395730018615724433e+00 -7.176290988922119141e+00 1.647589325904846191e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292649110822439e+09 -9.366875648498535156e+00 -7.171113014221191406e+00 1.651993036270141602e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292649161028385e+09 -9.349254608154296875e+00 -7.167769908905029297e+00 1.653319478034973145e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292649211274147e+09 -9.331052780151367188e+00 -7.163545131683349609e+00 1.654058814048767090e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292649311587572e+09 -9.274418830871582031e+00 -7.140403270721436435e+00 1.653868675231933594e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292649361631393e+09 -9.250372886657716620e+00 -7.132317066192626953e+00 1.652554750442504883e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292649412015915e+09 -9.226026535034179688e+00 -7.122985839843750000e+00 1.650750041007995605e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292649462282419e+09 -9.200793266296388495e+00 -7.113171577453613281e+00 1.648376584053039551e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292649512285709e+09 -9.154481887817384589e+00 -7.086498260498046875e+00 1.644590854644775391e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292649612647533e+09 -9.094426155090332031e+00 -7.058061122894287109e+00 1.636023879051208496e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292649663040161e+09 -9.064982414245603692e+00 -7.043920040130615234e+00 1.630468726158142090e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292649763310194e+09 -8.975026130676269531e+00 -6.990441322326660156e+00 1.616992115974426492e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
